시장명,시장유형,소재지도로명주소,소재지지번주소,시장개설주기,위도,경도,점포수,취급품목,사용가능상품권,홈페이지주소,공중화장실보유여부,주차장보유여부,개설연도,전화번호,데이터기준일자,제공기관코드,제공기관명
동원전통종합시장,상설장,서울특별시 중랑구 상봉로11길 27-3 면목동,서울특별시 중랑구 면목동 74-58,매일,37.5898242009,127.0921070339,123,농산물+축산물+수산물+음식점,,,Y,Y,1970,02-2209-0220,2024-07-22,B553077,소상공인시장진흥공단
동원시장,상설장,서울특별시 중랑구 면목로74길 45 면목동,서울특별시 중랑구 면목동 101-1 동원시장,매일,36.75316329,126.2966704,14,가공식품+의류,,,Y,N,1971,,2024-07-22,B553077,소상공인시장진흥공단
면목시장,상설장,서울특별시 중랑구 면목로39길 11,서울특별시 중랑구 면목동 650 카멜리아쇼핑센타,매일,37.5795516849,127.0862990552,35,가공식품+음식점,,,Y,Y,1968,,2024-07-22,B553077,소상공인시장진흥공단
면목골목시장,상설장,서울특별시 중랑구 사가정로50길 84,서울특별시 중랑구 면목동 666-15,매일,37.5774853400,127.0844361000,96,농산물+축산물+수산물+음식점,,,Y,Y,1970,02-496-5665,2024-07-22,B553077,소상공인시장진흥공단
사가정시장,상설장,서울특별시 중랑구 면목로44길 16,서울특별시 중랑구 면목동 472-45,매일,37.5810811700,127.0893792000,137,농산물+가공식품+음식점,,,N,N,1970,02-433-8502,2024-07-22,B553077,소상공인시장진흥공단
중랑교종합상가,상설장,서울특별시 중랑구 망우로 32길 23,서울특별시 중랑구 상봉동 129-9 중랑교쇼핑센터,매일,37.5929480552,127.0771146904,64,의류,,,Y,Y,1971,,2024-07-22,B553077,소상공인시장진흥공단
동성타워프라자,상설장,서울특별시 중랑구 봉화산로 221,서울특별시 중랑구 신내동 786 동성타워프라자,매일,37.6080276018,127.0972054733,76,의류,,,Y,Y,1996,02-3423-2975,2024-07-22,B553077,소상공인시장진흥공단
신아타운,상설장,서울특별시 중랑구 봉화산로 194 신내동,서울특별시 중랑구 신내동 666 신아타운,매일,36.65913945,127.7378471,165,의류,,,Y,Y,1999,,2024-07-22,B553077,소상공인시장진흥공단
태능엔터피아,상설장,서울특별시 중랑구 동일로129길 35,서울특별시 중랑구 중화동 314-1 태능에셈빌,매일,37.5992225725,127.0775052746,46,음식점,,,Y,Y,1975,,2024-07-22,B553077,소상공인시장진흥공단
장미제일시장,상설장,서울특별시 중랑구 동일로143길 36,서울특별시 중랑구 중화동 309-1,매일,37.6051902837,127.0765356023,56,농산물+음식점,,,Y,N,1970,02-6347-2234,2024-07-22,B553077,소상공인시장진흥공단
아트프라자,상설장,서울특별시 중구 마장로1길 28,서울특별시 중구 신당동 213-67,매일,37.5691928900,127.0128273000,391,의류+신발+가정용품+스카프,,,Y,N,1990,02-2236-1768,2024-07-22,B553077,소상공인시장진흥공단
강화중앙시장(a동b동),상설장,인천광역시 강화군 강화읍 강화대로 429 A동 430 B동,인천광역시 강화군 강화읍 신문리 205-5 A동 관청리 523-3 B동,매일,36.39679753,127.7331011,121,농산물+수산물+가정용품,,,Y,Y,1981,,2024-07-22,B553077,소상공인시장진흥공단
강화풍물시장,상설장+5일장,인천광역시 강화군 강화읍 중앙로 17-9,인천광역시 강화군 강화읍 갑곳리 849,2일+7일,37.7414215494,126.4928691984,175,농산물+수산물+음식점,,,Y,Y,2007,032-934-1318,2024-07-22,B553077,소상공인시장진흥공단
강화터미널상가,상설장,인천광역시 강화군 남산리 중앙로 43,인천광역시 강화군 남산리 222번지,매일,36.30246664,127.5680075,135,가공식품+의류,,,Y,Y,1994,032-932-2393,2024-07-22,B553077,소상공인시장진흥공단
계산시장,상설장,인천광역시 계양구 계산 시장길 10-18,인천광역시 계양구 계산 계산동 960-27,매일,37.5392795004,126.7248526563,112,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+미용실 수선,,,Y,Y,1977,032-541-8778,2024-07-22,B553077,소상공인시장진흥공단
계양산전통시장,상설장,인천광역시 계양구 병방시장로69 2층,인천광역시 계양구 병방동 383,매일,37.5480313681,126.7394455241,101,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+수선실 미용실,,https://blog.naver.com/gyeyangmarket,Y,Y,1980,,2024-07-22,B553077,소상공인시장진흥공단
작전시장,상설장,인천광역시 계양구 봉오대로677번길 20,인천광역시 계양구 작전2동 862의1,매일,37.5324871782,126.7243250434,126,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1983,,2024-07-22,B553077,소상공인시장진흥공단
간석자유시장,상설장,인천광역시 남동구 백범로 312-1,인천광역시 남동구 간석동 41-1,매일,37.4638836461,126.7153430814,138,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+기타소매 근린생활서비스,,,Y,N,1970,032-422-0401,2024-07-22,B553077,소상공인시장진흥공단
남동산업용품상가,상설장,인천광역시 남동구 은청로4-7 4-19,인천광역시 남동구 고잔동 630,매일,37.4069464793,126.6934019553,820,공구류 산업용폼,,,Y,Y,1998,,2024-07-22,B553077,소상공인시장진흥공단
구월시장,상설장,인천광역시 남동구 호구포로 790번길 21-13,인천광역시 남동구 구월동 1267-4,매일,37.4533693607,126.7202675016,138,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+미용실,,https://blog.naver.com/guwolmarket,Y,Y,1980,032-469-2525,2024-07-22,B553077,소상공인시장진흥공단
인천모래내전통시장,상설장,인천광역시 남동구 호구포로810번길 42-8,인천광역시 남동구 구월동 1263-5,매일,37.4542005498,126.7214912411,197,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+세탁소 꽃집 기타소매업,,http://moraenaemarket.com,Y,Y,1982,032-471-1427,2024-07-22,B553077,소상공인시장진흥공단
구월도매전통시장,상설장,인천광역시 남동구 인하로521번길 10-15,인천광역시 남동구 구월동 1176-14,매일,37.4436536138,126.7056284743,74,농산물+축산물+수산물+가공식품+의류+가정용품+음식점+의류.카페.부동산(근린시설),,,N,Y,1992,032-202-8982,2024-07-22,B553077,소상공인시장진흥공단
소래포구전통어시장,상설장,인천광역시 남동구 장도로 86-17,인천광역시 남동구 논현동 111-168,매일,37.3974554048,126.7386369810,338,수산물,,,Y,Y,1974,032-446-7536,2024-07-22,B553077,소상공인시장진흥공단
만수시장,상설장,인천광역시 남동구 만수로27번길 10-11,인천광역시 남동구 만수동 868-26,매일,37.4600484876,126.7317843625,68,농산물+축산물+수산물+가공식품+의류+신발+기타소매 근린생활서비스,,,Y,Y,1985,032-225-1266,2024-07-22,B553077,소상공인시장진흥공단
동대문종합시장 신관(동대문쇼핑타운),상설장,서울특별시 종로구 종로 272 종로6가,,매일,36.10158972,127.4986303,311,의류,,,Y,Y,1987,02-2262-0209,2024-07-22,B553077,소상공인시장진흥공단
동문시장㈜,상설장,서울특별시 종로구 종로44길 14,서울특별시 종로구 창신동 436-41 동문상가,매일,37.5705109507,127.0111279737,320,가공식품+신발+가정용품+음식점,,,Y,N,1969,,2024-07-22,B553077,소상공인시장진흥공단
통인시장,상설장,서울특별시 종로구 자하문로 15길 18,서울특별시 종로구 통인동 10-3,매일,37.5807670044,126.9699476219,74,농산물+축산물+가공식품+음식점,,,Y,N,1960,02-722-0911,2024-07-22,B553077,소상공인시장진흥공단
남대문시장,상설장,서울특별시 중구 남대문시장4길 21 일대,서울특별시 중구 남창동 49-1 일대,매일,36.20691023,127.0851989,5111,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+악세서리,,www.namdaemunmarket.co.kr,Y,N,1964,02-753-2805,2024-07-22,B553077,소상공인시장진흥공단
숭례문수입상가,상설장,서울특별시 중구 소월로 3,서울특별시 중구 남창동 51-1 롯데손해보험빌딩,매일,37.5593723100,126.9762026000,565,가공식품+의류+신발+가정용품+잡화,,,Y,Y,1980,02-779-2951,2024-07-22,B553077,소상공인시장진흥공단
삼익패션타운,상설장,서울특별시 중구 남대문시장 8길 7 삼익패션타운,서울특별시 중구 남창동 5 삼익패션타운,매일,36.88351586,126.7759917,1116,의류+신발+가정용품,,,Y,Y,1985,02-774-1531,2024-07-22,B553077,소상공인시장진흥공단
대림상가,상설장,서울특별시 중구 을지로 157,서울특별시 중구 산림동 207-2,매일,37.5671459000,126.9954512000,369,음향기기 오락기,,,Y,Y,1972,02-2278-5191,2024-07-22,B553077,소상공인시장진흥공단
청계상가,상설장,서울특별시 중구 청계천로 160,서울특별시 중구 산림동 207-1,매일,37.5679797669,126.9953650010,180,오락기 조명,,,Y,Y,1972,,2024-07-22,B553077,소상공인시장진흥공단
광희패션몰,상설장,서울특별시 중구 마장로1길 21,서울특별시 중구 신당동 777 광희시장,매일,37.5686729331,127.0119155261,1360,의류+신발+잡화,,http://www.kwangheesijang.com/,Y,Y,1979,02-2238-9889,2024-07-22,B553077,소상공인시장진흥공단
남평화시장,상설장,서울특별시 중구 장충단로 282-10 신당동,서울특별시 중구 신당동 772 남평화시장,매일,36.34894837,126.5967532,547,의류+잡화,,,Y,Y,1979,02-2237-0620,2024-07-22,B553077,소상공인시장진흥공단
동평화시장,상설장,서울특별시 중구 청계천로 318 동평화시장 7층,서울특별시 중구 신당동 217-92 동평화의류상가,매일,36.32640045,126.5067476,1115,의류,,,Y,Y,1969,02-2235-5881,2024-07-22,B553077,소상공인시장진흥공단
신평화패션타운,상설장,서울특별시 중구 청계천로 298 신당동,서울특별시 중구 신당동 217-1 신평화상가,매일,36.23299103,126.6012866,1385,의류+신발+가정용품+음식점+잡화,,,Y,N,1968,02-2253-0714,2024-07-22,B553077,소상공인시장진흥공단
벨포스트,상설장,서울특별시 중구 마장로 19 신당동,서울특별시 중구 신당동 776,매일,37.5681416100,127.0119740000,400,의류+신발+잡화,,,Y,Y,1980,02-2231-4678,2024-07-22,B553077,소상공인시장진흥공단
제일평화시장,상설장,서울특별시 중구 마장로 13 신당동,서울특별시 중구 신당동 775 제일평화시장,매일,36.21403275,126.7575323,780,의류+잡화,,https://jeilpyunghwa.com,Y,Y,1981,02-2252-0323,2024-07-22,B553077,소상공인시장진흥공단
청평화시장,상설장,서울특별시 중구 청계천로 334 신당동,서울특별시 중구 신당동 217-91 청평화시장,매일,36.93799809,126.4339114,1237,의류,,,Y,Y,1983,02-2252-8036,2024-07-22,B553077,소상공인시장진흥공단
테크노상가,상설장,서울특별시 중구 마장로1가길 17 테크노상가,서울특별시 중구 신당동 213-51 엠씨프라자,매일,36.78185889,126.4561164,200,의류,,,Y,Y,1996,02-2232-4821,2024-07-22,B553077,소상공인시장진흥공단
Team204,상설장,서울특별시 중구 마장로 30,서울특별시 중구 신당동 204-48 외 3필지,매일,37.5677127900,127.0131966000,225,의류+신발,,,Y,Y,1996,02-2232-1604,2024-07-22,B553077,소상공인시장진흥공단
신중부시장,상설장,서울특별시 중구 을지로30길 29 오장동 일대,서울특별시 중구 오장동 44-8 중부빌딩 일대,매일,36.07484624,126.6873207,213,건어물,,,Y,Y,2005,02-2273-0006,2024-07-22,B553077,소상공인시장진흥공단
중부시장,상설장,서울특별시 중구 을지로36길 35 오장동 일대,서울특별시 중구 오장동 139-11 일대,매일,36.01537094,126.6945088,500,농산물+수산물+음식점+방앗간,,,Y,N,1957,02-226-7561,2024-07-22,B553077,소상공인시장진흥공단
동화상가,상설장,서울특별시 중구 장충단로13길 34 동화상가,서울특별시 중구 을지로6가 17-415,매일,37.5686048600,127.0069120000,975,의류+음식점,,,Y,Y,1968,,2024-07-22,B553077,소상공인시장진흥공단
통일상가,상설장,서울특별시 중구 청계천로 260-6,서울특별시 중구 을지로6가 17-11,매일,37.5691630622,127.0062101684,688,의류+의류 부자재,,https://tongil155.com,Y,N,1969,,2024-07-22,B553077,소상공인시장진흥공단
평화시장,상설장,서울특별시 중구 청계천로 274 일대,서울특별시 중구 을지로6가 17-48 일대,매일,36.70496917,126.6681552,2070,의류+가정용품,,,Y,Y,1961,02-2279-2193,2024-07-22,B553077,소상공인시장진흥공단
방산종합시장,상설장,서울특별시 중구 동호로37길 20 주교동,서울특별시 중구 주교동 19-1 방산종합시장,매일,36.67097365,126.7743214,680,가정용품+비닐 향초 라벨,,,Y,Y,1976,02-2268-6691,2024-07-22,B553077,소상공인시장진흥공단
서울중앙시장,상설장,서울특별시 중구 퇴계로 85길 36 일대,서울특별시 중구 황학동 442 일대,매일,36.67097365,126.7743214,65,농산물+축산물+수산물+가공식품+가정용품+음식점+그릇 주방용품,,,Y,N,1962,02-2252-9559,2024-07-22,B553077,소상공인시장진흥공단
신중앙시장,상설장,서울특별시 중구 퇴계로85길 36 황학동 일대,서울특별시 중구 황학동 442 일대,매일,36.80919953,127.1488352,90,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,N,1962,02-2232-9559,2024-07-22,B553077,소상공인시장진흥공단
황학시장,상설장,서울특별시 중구 퇴계로85길 36,서울특별시 중구 황학동 442,매일,37.5673826500,127.0197632000,110,축산물+수산물+가공식품+음식점,,,N,N,2017,02-2235-3040,2024-07-22,B553077,소상공인시장진흥공단
자유상가,상설장,서울특별시 중구 남대문로 36 회현동1가,서울특별시 중구 회현동1가 202-1,매일,37.5609585524,126.9797670745,68,가정용품+핸드백,,,Y,N,1973,02-753-0787,2024-07-22,B553077,소상공인시장진흥공단
신정제일시장,상설장,서울특별시 양천구 중앙로34길 30,서울특별시 양천구 신정1동 1030-6,매일,37.5208419270,126.8536838194,55,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,N,1974,02-2652-0890,2024-07-22,B553077,소상공인시장진흥공단
오목교중앙시장,상설장,서울특별시 양천구 신목로4길 25 신정동,서울특별시 양천구 신정2동 119-32,매일,36.34947458,127.4472558,62,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,N,N,,,2024-07-22,B553077,소상공인시장진흥공단
영등포유통상가,상설장,서울특별시 영등포구 영등포로 109 당산동2가,서울특별시 영등포구 당산동2가 30-2 영등포유통상가,매일,36.32780625,127.4605853,1560,기계,,,Y,Y,1987,02-2635-7300,2024-07-22,B553077,소상공인시장진흥공단
대림중앙시장,상설장,서울특별시 영등포구 디지털로 372번지,서울특별시 영등포구 대림동 1028-4,매일,37.4903835300,126.9012678000,91,농산물+축산물+가공식품,,,Y,N,,,2024-07-22,B553077,소상공인시장진흥공단
영일시장,상설장,서울특별시 영등포구 문래로30길 27,서울특별시 영등포구 문래동3가 10,매일,37.5161351559,126.9007193201,120,농산물+축산물+음식점,,,Y,Y,1970,02-2679-6832,2024-07-22,B553077,소상공인시장진흥공단
동남상가,상설장,서울특별시 영등포구 영등포로 37길4,서울특별시 영등포구 영등포동5가 24 동남상가아파트,매일,37.5205974582,126.9056598350,55,가공식품+음식점+생활용품,,,Y,N,1971,02-2635-4846,2024-07-22,B553077,소상공인시장진흥공단
삼구시장,상설장,서울특별시 영등포구 영등포로 219 영등포동5가,서울특별시 영등포구 영등포동5가 20-62,매일,37.5201441500,126.9057495000,62,생활용품,,,Y,N,1975,02-2635-4846,2024-07-22,B553077,소상공인시장진흥공단
영신상가,상설장,서울특별시 영등포구 영등포로 225 영등포동5가,서울특별시 영등포구 영등포동5가 18-1,매일,37.5199200600,126.9066547000,99,의류+화훼,,,Y,N,1970,02-2634-0602,2024-07-22,B553077,소상공인시장진흥공단
보광시장,상설장,서울특별시 용산구 보광로 30,서울특별시 용산구 보광동 260-8 보광시장상가 주,매일,37.5271963249,127.0002891620,12,농산물+축산물+수산물+가공식품+의류+가정용품+음식점,,,Y,Y,1975,,2024-07-22,B553077,소상공인시장진흥공단
만리시장,상설장,서울특별시 용산구 효창원로 270 서계동,서울특별시 용산구 서계동 260-1 만리시장,매일,36.33020173,127.4329232,34,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,N,1968,,2024-07-22,B553077,소상공인시장진흥공단
신흥시장,상설장,서울특별시 용산구 신흥로 95-9 용산동2가,서울특별시 용산구 용산동 2가 1-480,매일,37.5453237853,126.9850855423,64,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,N,1969,,2024-07-22,B553077,소상공인시장진흥공단
이촌종합시장,상설장,서울특별시 용산구 이촌로75길 16-9,서울특별시 용산구 이촌동 301-53 이촌종합상가,매일,37.5207393924,126.9747837645,90,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1967,,2024-07-22,B553077,소상공인시장진흥공단
이태원시장,상설장,서울특별시 용산구 이태원로14길 6,서울특별시 용산구 이태원동 56-9 이태원시장,매일,37.5338183568,126.9900483732,105,의류,,,Y,N,1960,,2024-07-22,B553077,소상공인시장진흥공단
후암시장,상설장,서울특별시 용산구 한강대로104길 77,서울특별시 용산구 후암동 103,매일,37.5503807127,126.9766338864,43,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1954,02-754-5117,2024-07-22,B553077,소상공인시장진흥공단
제일시장,상설장,서울특별시 은평구 통일로 731 대조동,서울특별시 은평구 대조동 14-1,매일,37.6106226649,126.9294663164,51,의류+신발,,,Y,N,1970,,2024-07-22,B553077,소상공인시장진흥공단
대조시장,상설장,서울특별시 은평구 불광로 13,서울특별시 은평구 대조동 12-3,매일,37.6098657793,126.9277375027,58,농산물+축산물+수산물+가공식품,,,Y,Y,1976,02-382-5599,2024-07-22,B553077,소상공인시장진흥공단
연서시장,상설장,서울특별시 은평구 연서로 247 불광동,서울특별시 은평구 불광동 310-4,매일,37.6196909418,126.9221719559,88,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1963,,2024-07-22,B553077,소상공인시장진흥공단
대림시장,상설장+5일장,서울특별시 은평구 응암로4길 22,서울특별시 은평구 응암동 754-1,5일+10일,37.5867972937,126.9177421479,64,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1979,02-302-1666,2024-07-22,B553077,소상공인시장진흥공단
신응암시장,상설장,서울특별시 은평구 응암로22길3-1,서울특별시 은평구 응암동 427-130,매일,37.5939075017,126.9186942993,36,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,https://www.instagram.com/neweungammarket/,Y,Y,2011,02-389-3330,2024-07-22,B553077,소상공인시장진흥공단
증산종합시장,상설장,서울특별시 은평구 증산로3길 12,서울특별시 은평구 증산동 184-9,매일,37.5814688542,126.9050616218,57,가공식품+음식점,,,Y,Y,1971,02-373-5990,2024-07-22,B553077,소상공인시장진흥공단
신설종합시장,상설장,서울특별시 종로구 난계로27길 51,서울특별시 종로구 숭인동 206-9 신설종합시장,매일,37.5726695877,127.0203447648,161,원단 부자재,,,Y,N,1971,,2024-07-22,B553077,소상공인시장진흥공단
광장시장,상설장,서울특별시 종로구 창경궁로 88,서울특별시 종로구 예지동 2-1,매일,37.5701125140,126.9997071631,1300,농산물+의류+음식점,,,Y,Y,1905,02-2272-0967,2024-07-22,B553077,소상공인시장진흥공단
종로신진시장,상설장,서울특별시 종로구 종로38길 16,서울특별시 종로구 종로5가 225-21,매일,37.5702282788,127.0049462002,65,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,N,1952,02-2272-6001,2024-07-22,B553077,소상공인시장진흥공단
한일상가,상설장,서울특별시 종로구 청계천로 229 종로5가,서울특별시 종로구 종로5가 314-7 청오가방도매상가,매일,36.09943085,127.491081,325,의류부자재 원단,,,Y,Y,1984,02-2266-3242,2024-07-22,B553077,소상공인시장진흥공단
동대문종합시장,상설장,서울특별시 종로구 종로 266 동대문종합시장,서울특별시 종로구 종로6가 289-3 동대,매일,36.10444142,127.4909376,3400,의류,,,Y,Y,1969,,2024-07-22,B553077,소상공인시장진흥공단
동대문종합시장D동상가,상설장,서울특별시 종로구 종로266종합시장디동,서울특별시 종로구 종로6가 262-1 동대문종합시장디동,매일,36.10050821,127.492218,1050,의류 원단,,,Y,N,1976,02-2279-8751,2024-07-22,B553077,소상공인시장진흥공단
남부종합시장,상설장,서울특별시 서초구 방배중앙로 27길 17,서울특별시 서초구 방배동 767-1 남부종합시장,매일,37.4949921884,126.9848056147,134,농산물+가공식품+가정용품+음식점,,,Y,Y,1978,02-599-6735,2024-07-22,B553077,소상공인시장진흥공단
양재시장,상설장,서울특별시 서초구 남부순환로356길 15 양재동,서울특별시 서초구 양재동1-7,매일,37.4843108451,127.0379659688,35,축산물+가공식품+의류+신발,,,Y,N,1981,,2024-07-22,B553077,소상공인시장진흥공단
금남시장,상설장,서울특별시 성동구 금호산2길 32 2층,서울특별시 성동구 금호동3가 308,매일,37.5486275229,127.0230442964,117,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1962,02-2252-5302,2024-07-22,B553077,소상공인시장진흥공단
마장축산물시장,상설장,서울특별시 성동구 마장로35길 68 4층,서울특별시 성동구 마장동 439-1 4층,매일,37.48597127,126.6551373,847,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1963,02-2281-4446,2024-07-22,B553077,소상공인시장진흥공단
뚝도시장,상설장,서울특별시 성동구 성수이로 32-15,서울특별시 성동구 성수동2가 335-16,매일,37.5378006400,127.0548270000,141,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1962,02-464-4426,2024-07-22,B553077,소상공인시장진흥공단
용답상가시장,상설장,서울특별시 성동구 용답중앙길 59,서울특별시 성동구 용답동 57-17,매일,37.5641688500,127.0525388000,167,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,2011,02-2214-4326,2024-07-22,B553077,소상공인시장진흥공단
길음시장,상설장,서울특별시 성북구 동소문로 227 길음동,서울특별시 성북구 길음동 535-8 길음시장,매일,37.47573465,126.6330715,86,농산물+축산물+수산물+가공식품+의류,,,Y,Y,1960,02-909-0926,2024-07-22,B553077,소상공인시장진흥공단
돈암시장,상설장,서울특별시 성북구 동소문로 18길 12-3,서울특별시 성북구 동소문동5가 59-1,매일,37.5916663025,127.0157124483,109,농산물+수산물+가공식품+음식점,,,Y,N,1952,02-926-5133,2024-07-22,B553077,소상공인시장진흥공단
돌곶이시장(구 석관황금시장),상설장,서울특별시 성북구 한천로 73길 33,서울특별시 성북구 석관동 279-16,매일,37.6095023907,127.0616578352,82,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,N,1970,070-8952-5598,2024-07-22,B553077,소상공인시장진흥공단
장위전통시장,상설장,서울특별시 성북구 장위로 36길 46-1,서울특별시 성북구 장위동 68-225,매일,37.6120877241,127.0508053286,64,농산물+축산물+수산물+가공식품+신발,,www.facebook.com jangwimaket,Y,Y,1960,070-7799-9129,2024-07-22,B553077,소상공인시장진흥공단
정릉아리랑시장,상설장,서울특별시 성북구 정릉로26가길 36,서울특별시 성북구 정릉동 443-1,매일,37.6027676700,127.0110392000,51,농산물+축산물+수산물+가공식품+음식점,,,N,N,1960,,2024-07-22,B553077,소상공인시장진흥공단
정릉시장,상설장,서울특별시 성북구 보국문로11길 18,서울특별시 성북구 정릉동 400-8,매일,37.6084713300,127.0096809000,114,농산물+축산물+수산물+가공식품,,,Y,Y,1970,070-4126-0098,2024-07-22,B553077,소상공인시장진흥공단
마천시장,상설장,서울특별시 송파구 마천로45길 23 113호,서울특별시 송파구 마천동 140-2번지,매일,37.49646732,126.726601,65,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,N,1973,02-409-6500,2024-07-22,B553077,소상공인시장진흥공단
마천중앙시장,상설장,서울특별시 송파구 마천로45길 14 2층,서울특별시 송파구 마천동 135-4,매일,37.4972071200,127.1501498000,141,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스,,,Y,Y,1968,02-448-2808,2024-07-22,B553077,소상공인시장진흥공단
방이시장,상설장,서울특별시 송파구 가락로 243,서울특별시 송파구 방이동 124-20,매일,37.5099524138,127.1178662051,138,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1986,,2024-07-22,B553077,소상공인시장진흥공단
석촌시장,상설장,서울특별시 송파구 송파대로 37길 52 지층,서울특별시 송파구 석촌동 274-8 지층,매일,37.51859498,126.6732507,72,농산물+축산물+의류+음식점,,,Y,Y,1970,02-414-8784,2024-07-22,B553077,소상공인시장진흥공단
새마을시장,상설장,서울특별시 송파구 석촌호수로12길 3-9,서울특별시 송파구 잠실동 210-33,매일,37.5087615542,127.0859863337,116,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1976,02-413-5757,2024-07-22,B553077,소상공인시장진흥공단
풍납시장,상설장,서울특별시 송파구 바람드리길 15-1 풍납동,서울특별시 송파구 풍납동 88-61,매일,37.5380280875,127.1176834095,143,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+노래방,,,Y,Y,1960,02-472-2050,2024-07-22,B553077,소상공인시장진흥공단
목사랑시장 (목4동시장),상설장,서울특별시 양천구 목동중앙남로7길 8 목동,서울특별시 양천구 목동 726-18 목4동시장고객지원센터,매일,37.50325586,126.6729228,84,농산물+축산물+수산물+가공식품+의류+가정용품+음식점,,https://blog.naver.com.maksamarket,Y,Y,1972,02-2647-9191,2024-07-22,B553077,소상공인시장진흥공단
목2동시장,상설장,서울특별시 양천구 목동중앙북로 16길3,서울특별시 양천구 목동 526,매일,37.5460499009,126.8738866427,82,농산물+축산물+음식점,,,Y,N,1970,,2024-07-22,B553077,소상공인시장진흥공단
목동깨비시장 (목3동시장),상설장,서울특별시 양천구 목동중앙북로6길 5 목동,서울특별시 양천구 목동 617-13 목3동시장 고객지원센터,매일,37.46604453,126.6366166,98,농산물+축산물+수산물+가공식품,,,Y,Y,1970,,2024-07-22,B553077,소상공인시장진흥공단
우성상가시장,상설장,서울특별시 양천구 지양로 78,서울특별시 양천구 신월동 928-1,매일,37.5226595591,126.8335710609,11,농산물+축산물+수산물+의류+신발,,,Y,Y,1988,,2024-07-22,B553077,소상공인시장진흥공단
신곡종합시장,상설장,서울특별시 양천구 남부순환로79길 37,서울특별시 양천구 신월동 575-17,매일,37.5183690000,126.8431967000,34,농산물+축산물+가공식품+신발,,,Y,N,1976,,2024-07-22,B553077,소상공인시장진흥공단
신영시장,상설장,서울특별시 양천구 월정로 161-5 2층,서울특별시 양천구 신월동 114-18 신영시장고객지원센터,매일,36.44915347,127.4265032,106,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1981,02-2604-3319,2024-07-22,B553077,소상공인시장진흥공단
경창시장,상설장,서울특별시 양천구 오목로9길 31,서울특별시 양천구 신월동 447-8,매일,37.5249341636,126.8421213604,50,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1983,02-2606-5988,2024-07-22,B553077,소상공인시장진흥공단
경동시장,상설장,서울특별시 동대문구 고산자로36길 3,서울특별시 동대문구 제기동 1036,매일,37.5790377656,127.0391429358,678,농산물+축산물+수산물+가공식품+의류+가정용품+음식점,,,Y,Y,1960,02-969-7218,2024-07-22,B553077,소상공인시장진흥공단
동서시장,상설장,서울특별시 동대문구 왕산로33길 13,서울특별시 동대문구 제기동 650,매일,37.5797259580,127.0412214937,52,농산물,,,Y,Y,1972,,2024-07-22,B553077,소상공인시장진흥공단
청량종합도매시장(깡통시장),상설장,서울특별시 동대문구 경동시장로30-7,서울특별시 동대문구 제기동 620-44,매일,37.5819429801,127.0408559045,45,가공식품,,,Y,Y,1993,02-962-5670,2024-07-22,B553077,소상공인시장진흥공단
청량리종합시장,상설장,서울특별시 동대문구 홍릉로 1길 68-3,서울특별시 동대문구 제기동 647-11,매일,37.5801566070,127.0410377637,153,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1960,02-962-7100,2024-07-22,B553077,소상공인시장진흥공단
